ID,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
ng101,-3.0,-4.0,-5.0,-6.0,-7.0,-8.0,-9.0,-10.0,-11.0,-12.0,-13.0,-14.0,-15.0,-16.0,-17.0,-18.0,-19.0,-20.0,-21.0,-22.0,-23.0,-24.0,-23.999809073581666,-23.999322751393215
ng102,-4.048606725957724,-4.8064550032483595,-5.650897039847349,-6.6313136517011415,-7.635085567035166,-8.65099263614432,-9.689686705832724,-10.72649757680422,-11.873477708696331,-12.87347737278829,-13.873476257248075,-14.873472552573517,-15.873460249463825,-16.87341939121687,-17.87328370224178,-18.872833083350002,-19.87133659194025,-20.866366790229023,-21.849862232375948,-22.795051105946094,-23.61302504943159,-24.00852214266103,-24.007685042816234,-24.007198720627784
