SC_ID,GasNode,ElecNode,ts,te,PcMin,PcMax,RcD,RcU,lambdaC,AlphaC,time,MIPGap
sc1,ng102,ne101,1,4,0,10,-999,-999,4.0,-999,0.26083946228027344,0.0
sc2,ng102,ne101,1,4,0,20,-999,-999,4.0,-999,2.6089305877685547,0.0
sc3,ng102,ne101,1,4,0,30,-999,-999,4.0,-999,5.034387588500977,0.0
sc4,ng102,ne101,1,4,0,40,-999,-999,4.0,-999,3.2045211791992188,0.0
sc5,ng102,ne101,1,4,0,50,-999,-999,4.0,-999,15.53230094909668,0.0
sc6,ng102,ne101,1,4,0,60,-999,-999,4.0,-999,19.691360473632812,0.0
sc7,ng102,ne101,1,4,0,70,-999,-999,4.0,-999,8.024337768554688,0.0
sc8,ng102,ne101,1,4,0,80,-999,-999,4.0,-999,21.8029727935791,0.0
sc9,ng102,ne101,1,4,0,90,-999,-999,4.0,-999,23.90256118774414,0.0
